Name,WHO_Region,Cases_cumulative_total,Cases_cumulative_total_per_100000_population,Cases_newly_reported_in_last_7_days,Cases_newly reported in last 7 days per 100000 population,Cases_newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,Global,386548962,4959.227153832997,21013857,269.5971286586034,2871646,5705754,73.20193028972935,70131,0.8997451648194115,11527
United States of America,Americas,75087972,22685.006,2648802,800.236,300643,888113,268.31,18284,5.524,3636
India,South-East Asia,41952712,3040.042,1330003,96.377,149394,500055,36.236,7728,0.56,1072
Brazil,Americas,25793112,12134.542,1257228,591.471,172903,628960,295.898,4547,2.139,893
France,Europe,19596336,30129.965,1953090,3002.935,274179,129009,198.355,1760,2.706,262
The United Kingdom,Europe,17607836,25937.358,618565,911.182,88171,157730,232.345,1789,2.635,303
Russian Federation,Europe,12452765,8533.122,950108,651.051,168201,334039,228.897,4596,3.149,682
Turkey,Europe,11939804,14156.908,690588,818.823,107530,88064,104.417,1403,1.664,233
Italy,Europe,11348701,19028.199,809100,1356.606,112956,147734,247.703,2575,4.317,414
Germany,Europe,10671602,12831.579,1242523,1494.015,248838,118504,142.49,1020,1.226,170
Spain,Europe,10199716,21549.023,411391,869.149,31194,94040,198.679,800,1.69,44
Argentina,Americas,8515285,18840.888,385262,852.429,87507,122152,270.273,2133,4.719,639
Iran (Islamic Republic of),Eastern Mediterranean,6483799,7719.456,190104,226.333,37395,132624,157.899,291,0.346,61
Colombia,Americas,5916825,11628.319,118026,231.956,15110,134781,264.885,1762,3.463,230
Poland,Europe,5083332,13391.942,330632,871.044,47536,106306,280.061,1399,3.686,246
Mexico,Americas,4985689,3866.891,83781,64.98,0,306920,238.047,1402,1.087,0
Netherlands,Europe,4688119,26931.473,556712,3198.1,82961,21310,122.418,61,0.35,11
Indonesia,South-East Asia,4446694,1625.708,127519,46.621,32211,144453,52.812,185,0.068,42
Ukraine,Europe,4213675,9634.834,233065,532.918,43778,100983,230.904,1101,2.518,174
South Africa,Africa,3612809,6091.534,18310,30.872,0,95463,160.96,812,1.369,0
Philippines,Western Pacific,3585461,3271.971,92014,83.969,8702,54168,49.432,432,0.394,71
Peru,Americas,3286151,9966.534,215794,654.479,23986,206220,625.443,1451,4.401,235
Belgium,Europe,3267656,28359.063,183125,1589.29,20,29185,253.288,218,1.892,4
Czechia,Europe,3181709,29752.451,257226,2405.344,37662,37363,349.385,198,1.852,14
Israel,Europe,3089087,35689.127,412746,4768.575,46347,9080,104.904,338,3.905,26
Canada,Americas,3082000,8165.936,102168,270.7,15097,34212,90.647,1020,2.703,179
Japan,Western Pacific,3007476,2377.894,586033,463.353,103038,19039,15.053,397,0.314,90
Malaysia,Western Pacific,2887780,8922.264,37372,115.467,5720,32000,98.869,60,0.185,8
Portugal,Europe,2795830,27154.766,352306,3421.806,50447,20077,195,333,3.234,53
Thailand,South-East Asia,2475632,3546.752,60160,86.189,9909,22250,31.877,124,0.178,22
Romania,Europe,2325016,12028.742,210182,1087.401,32671,60353,312.243,556,2.877,111
Switzerland,Europe,2321699,26826.129,174681,2018.356,135,12352,142.721,69,0.797,0
Viet Nam,Western Pacific,2304095,2367.093,100887,103.645,8601,38063,39.104,772,0.793,286
Australia,Western Pacific,2290835,8983.708,474238,1859.765,36842,3989,15.643,587,2.302,85
Sweden,Europe,2259656,21879.802,243295,2355.777,34735,16100,155.893,81,0.784,0
Chile,Americas,2258005,11811.997,212131,1109.692,36729,39824,208.326,230,1.203,82
Iraq,Eastern Mediterranean,2233725,5553.423,50323,125.112,6949,24455,60.799,125,0.311,25
Greece,Europe,2002206,18679.795,134271,1252.696,17662,23833,222.353,750,6.997,112
